DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	PHIX	RHOMAT	MBVI	MPHI
4201.5	-23.1667	77.7005	10.6252	10	0.7087	0.7542	0.7532	2.2822	0.443193	40	0.3433799	2.900432	-999.25	-999.25
4202	-22.125	74.448	10.646	10	0.732	0.755	0.754	2.288	0.44371	40	0.3421886	2.905989	-999.25	-999.25
4202.5	-21.875	77.106	10.6575	10	0.7497	0.7548	0.7552	2.2873	0.430535	40	0.3429517	2.907021	-999.25	-999.25
4203	-23.125	80.436	10.565	10	0.728	0.754	0.756	2.289	0.40066	40	0.3393517	2.899747	-999.25	-999.25
4203.5	-23.4588	83.6433	10.5385	10	0.703	0.7532	0.7583	2.2793	0.38593	40	0.3375713	2.880267	-999.25	-999.25
4204	-24.188	83.8	10.501	10	0.693	0.754	0.76	2.276	0.38123	40	0.3362522	2.871757	-999.25	-999.25
4204.5	-24.615	82.6218	10.5323	10	0.718	0.7577	0.7595	2.2728	0.389327	40	0.3421969	2.882904	-999.25	-999.25
4205	-24.875	82.521	10.554	10	0.723	0.761	0.757	2.267	0.39866	40	0.3515549	2.89969	-999.25	-999.25
4205.5	-25.2817	83.582	10.646	10	0.7103	0.762	0.7548	2.2645	0.413145	40	0.3491581	2.889221	-999.25	-999.25
4206	-25.125	83.437	10.656	10	0.707	0.762	0.754	2.262	0.40902	40	0.3523555	2.894194	-999.25	-999.25
4206.5	-24.9897	83.224	10.6518	10	0.7105	0.7605	0.753	2.2605	0.41617	40	0.3494879	2.883979	-999.25	-999.25
4207	-24.938	82.159	10.641	10	0.703	0.758	0.753	2.258	0.40872	40	0.3529495	2.889659	-999.25	-999.25
4207.5	-24.4688	86.4977	10.5303	10	0.706	0.757	0.7522	2.265	0.439053	40	0.3518395	2.897394	-999.25	-999.25
4208	-24.313	85.791	10.392	10	0.716	0.757	0.753	2.27	0.43282	40	0.3485808	2.896078	-999.25	-999.25
4208.5	-24.2292	84.2928	10.4042	10	0.721	0.7608	0.753	2.2738	0.425782	40	0.3487879	2.902485	-999.25	-999.25
4209	-23.5	81.917	10.525	10	0.721	0.765	0.753	2.273	0.41484	40	0.3481056	2.899371	-999.25	-999.25
4209.5	-23.7608	78.3057	10.5723	10	0.7307	0.7707	0.7538	2.2792	0.41185	40	0.3439801	2.897506	-999.25	-999.25
